1f9d1-1f3fd-200d-2764-200d-1f48b-200d-1f9d1-1f3fb,kiss_person_person_medium_skin_tone_light_skin_tone
1f9d1-1f3fd-200d-2708,pilot_medium_skin_tone
1f9d1-1f3fd-200d-2696,judge_medium_skin_tone
1f9d1-1f3fd-200d-2695,health_worker_medium_skin_tone
1f9d1-1f3fd-200d-1f9bd,person_in_manual_wheelchair_medium_skin_tone
1f9d1-1f3fd-200d-1f9bc,person_in_motorized_wheelchair_medium_skin_tone
1f9d1-1f3fd-200d-1f9b3,person_medium_skin_tone_white_hair
1f9d1-1f3fd-200d-1f9b2,person_medium_skin_tone_bald
1f9d1-1f3fd-200d-1f9b1,person_medium_skin_tone_curly_hair
1f9d1-1f3fd-200d-1f9b0,person_medium_skin_tone_red_hair
